Job Title,Avg Salary(K),Avg Salary(K)
Ag Data Scientist,80.5,100
Analytics - Business Assurance Data Analyst,43,100
Analytics Consultant,66.5,100
Analytics Manager,87.5,100
Analytics Manager - Data Mart,64,100
"Assistant Director/Director, Office of Data Science",53,100
Associate Data Analyst,29.5,38.31168831
Associate Data Analyst,47.5,61.68831169
Associate Data Analyst- Graduate Development Program,45.5,100
Associate Data Engineer,65.5,100
Associate Data Scientist/Computer Scientist,81.5,100
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",154.5,100
"Associate Director/Director, Safety Scientist",140,100
Associate Environmental Scientist - Wildlife Biologist,51,100
Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad,74.5,100
"Associate Principal Scientist, Pharmacogenomics",95,100
Associate Research Scientist I (Protein Expression and Production),87.5,100
Associate Scientist,81.5,100
"Associate Scientist / Sr. Associate Scientist, Antibody Discovery",92,100
"Associate Scientist, LC/MS Biologics",70,100
"Associate Scientist/Scientist, Process Analytical Technology - Small Molecule Analytical Chemistry",125,100
"Associate, Data Science, Internal Audit",62.5,100
BI & Platform Analytics Manager,109.5,100
Big Data Engineer,90.5,43.30143541
Big Data Engineer,118.5,56.69856459
Big Data Engineer - Chicago - Future Opportunity,100,100
Business Data Analyst,53.5,100
"Business Data Analyst, SQL",65,100
Business Intelligence Analyst / Developer,79,100
CONSULTANT– DATA ANALYTICS GROUP,52.5,100
Clinical Data Analyst,37.5,51.54639175
Clinical Data Analyst,70.5,48.45360825
Clinical Data Scientist,84,100
Clinical Laboratory Scientist,65,100
"Clinical Scientist, Clinical Development",76.5,100
College Hire - Data Scientist - Open to December 2019 Graduates,81,100
Computational Chemist/Data Scientist,76.5,100
Consultant - Analytics Consulting,62.5,100
Corporate Risk Data Analyst (SQL Based) - Milwaukee or,60,100
Customer Data Scientist,153.5,100
Customer Data Scientist/Sales Engineer,137.5,100
Customer Data Scientist/Sales Engineer (Bay,150.5,100
Data & Analytics Consultant (NYC),114.5,100
Data Analyst,47.5,4.776269482
Data Analyst,49,4.927099045
Data Analyst,53.5,5.379587733
Data Analyst,56.5,5.681246858
Data Analyst,59.5,5.982905983
Data Analyst,62,6.234288587
Data Analyst,65.5,6.586224233
Data Analyst,66,13.27300151
Data Analyst,69,6.938159879
Data Analyst,71,14.27853193
Data Analyst,77.5,7.792860734
Data Analyst,88,8.848667672
Data Analyst,92.5,9.30115636
Data Analyst - Asset Management,103.5,100
Data Analyst / Scientist,72.5,100
"Data Analyst 1, full-time contract worker for up to 12 months",50,100
Data Analyst 2 (Missionary Department),72,100
Data Analyst Chemist - Quality System Contractor,85.5,100
Data Analyst Senior,66.5,100
"Data Analyst, Performance Partnership",73,100
Data Analytics Manager,40.5,100
Data Analytics Project Manager,63,100
Data Architect / Data Modeler,86.5,100
Data Engineer,60.5,1.245368464
Data Engineer,64.5,2.655413751
Data Engineer,68.5,2.820090572
Data Engineer,70.5,2.902428983
Data Engineer,71.5,2.943598189
Data Engineer,75.5,1.554137505
Data Engineer,78,1.605599012
Data Engineer,80,3.293536435
Data Engineer,81,1.66735282
Data Engineer,83,1.708522026
Data Engineer,84.5,3.478797859
Data Engineer,85,3.499382462
Data Engineer,87,3.581720873
Data Engineer,87.5,1.801152738
Data Engineer,88,1.811445039
